,item_id,genero,titulo,playtime_forever,Indie,Simulation,Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy,Early Access,Utilities,Racing,Sports
27742,4000,"['Indie', 'Simulation']",Garry's Mod,642773,1,1,0,0,0,0,0,0,0,0,0,0,0
841363,212200,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Simulation']",Mabinogi,635295,0,1,1,1,1,1,1,1,0,0,0,0,0
3422625,8500,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']",EVE Online,530882,0,0,1,0,0,1,1,1,1,0,0,0,0
3914660,320,['Action'],Half-Life 2: Deathmatch,493791,0,0,1,0,0,0,0,0,0,0,0,0,0
3898581,240,['Action'],Counter-Strike: Source,479117,0,0,1,0,0,0,0,0,0,0,0,0,0
3209940,47410,"['Free to Play', 'Massively Multiplayer', 'Strategy']",Stronghold Kingdoms,439912,0,0,0,0,0,1,1,0,1,0,0,0,0
410847,8930,['Strategy'],Sid Meier's Civilization® V,425437,0,0,0,0,0,0,0,0,1,0,0,0,0
632525,113400,"['Action', 'Free to Play', 'Massively Multiplayer']",APB Reloaded,408492,0,0,1,0,0,1,1,0,0,0,0,0,0
2752164,230410,"['Action', 'Free to Play']",Warframe,406717,0,0,1,0,0,1,0,0,0,0,0,0,0
739441,730,['Action'],Counter-Strike: Global Offensive,376267,0,0,1,0,0,0,0,0,0,0,0,0,0
3665069,1250,['Action'],Killing Floor,366892,0,0,1,0,0,0,0,0,0,0,0,0,0
502262,39120,"['Free to Play', 'Massively Multiplayer', 'RPG']",RIFT,363147,0,0,0,0,0,1,1,1,0,0,0,0,0
4008844,10,['Action'],Counter-Strike,356217,0,0,1,0,0,0,0,0,0,0,0,0,0
1294067,346900,"['Casual', 'Free to Play', 'Indie']",AdVenture Capitalist,342885,1,0,0,0,1,1,0,0,0,0,0,0,0
3556830,550,['Action'],Left 4 Dead 2,342805,0,0,1,0,0,0,0,0,0,0,0,0,0
2442924,39210,"['Massively Multiplayer', 'RPG']",FINAL FANTASY XIV Online,338572,0,0,0,0,0,0,1,1,0,0,0,0,0
2283856,268420,"['Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']",Aura Kingdom,337453,0,0,0,1,1,1,1,1,0,0,0,0,0
1337928,363970,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG', 'Simulation', 'Strategy']",Clicker Heroes,333482,1,1,0,1,1,1,0,1,1,0,0,0,0
3225505,201230,"['Free to Play', 'Massively Multiplayer', 'RPG']",EverQuest® II Free-To-Play. Your Way.™,328984,0,0,0,0,0,1,1,1,0,0,0,0,0
353544,48700,"['Action', 'RPG']",Mount &amp; Blade: Warband,312547,0,0,1,0,0,0,0,1,0,0,0,0,0
2634857,236850,"['Simulation', 'Strategy']",Europa Universalis IV,308612,0,1,0,0,0,0,0,0,1,0,0,0,0
2501200,252490,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",Rust,299191,1,0,1,1,0,0,1,1,0,1,0,0,0
2588903,107410,"['Action', 'Simulation', 'Strategy']",Arma 3,290153,0,1,1,0,0,0,0,0,1,0,0,0,0
2913669,218230,"['Action', 'Free to Play', 'Massively Multiplayer']",PlanetSide 2,285863,0,0,1,0,0,1,1,0,0,0,0,0,0
658806,203770,"['RPG', 'Simulation', 'Strategy']",Crusader Kings II,274817,0,1,0,0,0,0,0,1,1,0,0,0,0
1237461,326160,"['Massively Multiplayer', 'RPG', 'Early Access']",Shroud of the Avatar: Forsaken Virtues,271857,0,0,0,0,0,0,1,1,0,1,0,0,0
1325867,323370,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",TERA,271109,0,0,1,1,0,1,1,1,0,0,0,0,0
1895420,402840,"['Casual', 'Free to Play', 'Indie']",Crusaders of the Lost Idols,260155,1,0,0,0,1,1,0,0,0,0,0,0,0
1377394,293260,"['Free to Play', 'RPG', 'Strategy']",Card Hunter,260028,0,0,0,0,0,1,0,1,1,0,0,0,0
2278285,237310,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']",Elsword,256539,0,0,1,1,1,1,1,1,0,0,0,0,0
3359116,105600,"['Action', 'Adventure', 'Indie', 'RPG']",Terraria,242217,1,0,1,1,0,0,0,1,0,0,0,0,0
2520760,234330,"['Casual', 'Free to Play', 'RPG']",Marvel Puzzle Quest,242157,0,0,0,0,1,1,0,1,0,0,0,0,0
3068563,211420,"['Action', 'RPG']",DARK SOULS™: Prepare To Die™ Edition,234650,0,0,1,0,0,0,0,1,0,0,0,0,0
3987579,2100,"['Action', 'RPG']",Dark Messiah of Might &amp; Magic,234508,0,0,1,0,0,0,0,1,0,0,0,0,0
3478820,34030,['Strategy'],Napoleon: Total War™,231595,0,0,0,0,0,0,0,0,1,0,0,0,0
2022650,220200,"['Indie', 'Simulation']",Kerbal Space Program,230856,1,1,0,0,0,0,0,0,0,0,0,0,0
557003,9880,"['Free to Play', 'Massively Multiplayer', 'RPG']",Champions Online,222547,0,0,0,0,0,1,1,1,0,0,0,0,0
714548,17080,"['Action', 'Free to Play']",Tribes: Ascend,221216,0,0,1,0,0,1,0,0,0,0,0,0,0
2601734,214950,['Strategy'],Total War™: ROME II - Emperor Edition,219674,0,0,0,0,0,0,0,0,1,0,0,0,0
1911572,359050,"['Action', 'Indie', 'Simulation']",Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,219151,1,1,1,0,0,0,0,0,0,0,0,0,0
653429,9900,"['Free to Play', 'Massively Multiplayer', 'RPG']",Star Trek Online,215135,0,0,0,0,0,1,1,1,0,0,0,0,0
3792067,4560,"['Action', 'Strategy']",Company of Heroes - Legacy Edition,214202,0,0,1,0,0,0,0,0,1,0,0,0,0
2224905,266430,"['Casual', 'Free to Play', 'Indie', 'Early Access']",Anarchy Arcade,213969,1,0,0,0,1,1,0,0,0,1,0,0,0
1444130,233450,"['Indie', 'Simulation', 'Strategy']",Prison Architect,213024,1,1,0,0,0,0,0,0,1,0,0,0,0
1621077,346110,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",ARK: Survival Evolved,212089,1,0,1,1,0,0,1,1,0,0,0,0,0
705633,212160,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",Vindictus,211608,0,0,1,1,0,1,1,1,0,0,0,0,0
1151213,268850,['Utilities'],EVGA Precision XOC,207651,0,0,0,0,0,0,0,0,0,0,1,0,0
1288593,304030,"['Free to Play', 'Massively Multiplayer', 'RPG']",ArcheAge,205822,0,0,0,0,0,1,1,1,0,0,0,0,0
666012,200210,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']",Realm of the Mad God,204182,1,0,1,0,0,1,1,1,0,0,0,0,0
4030057,80,['Action'],Counter-Strike: Condition Zero,202226,0,0,1,0,0,0,0,0,0,0,0,0,0
3724224,500,['Action'],Left 4 Dead,189805,0,0,1,0,0,0,0,0,0,0,0,0,0
3451964,300,['Action'],Day of Defeat: Source,189181,0,0,1,0,0,0,0,0,0,0,0,0,0
2939829,4920,"['Action', 'Indie', 'Strategy']",Natural Selection 2,187544,1,0,1,0,0,0,0,0,1,0,0,0,0
701918,212500,"['Free to Play', 'Massively Multiplayer', 'RPG']",The Lord of the Rings Online™,187157,0,0,0,0,0,1,1,1,0,0,0,0,0
3484596,24960,['Action'],Battlefield: Bad Company™ 2,186582,0,0,1,0,0,0,0,0,0,0,0,0,0
3458964,33930,"['Action', 'Simulation', 'Strategy']",Arma 2: Operation Arrowhead,175066,0,1,1,0,0,0,0,0,1,0,0,0,0
1473562,432020,['Simulation'],What's under your blanket !?,174626,0,1,0,0,0,0,0,0,0,0,0,0,0
3518078,46740,['Simulation'],World Basketball Manager 2010,173990,0,1,0,0,0,0,0,0,0,0,0,0,0
1005643,109600,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",Neverwinter,170394,0,0,1,1,0,1,1,1,0,0,0,0,0
2844597,11610,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']",Dragon Nest,169016,0,0,1,0,0,1,1,1,0,0,0,0,0
3877022,3900,['Strategy'],Sid Meier's Civilization® IV,165271,0,0,0,0,0,0,0,0,1,0,0,0,0
3094288,216150,"['Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']",MapleStory,163911,0,0,0,0,1,1,1,1,0,0,0,0,0
3772799,15170,['Strategy'],Heroes of Might &amp; Magic V,163106,0,0,0,0,0,0,0,0,1,0,0,0,0
3046513,49520,"['Action', 'RPG']",Borderlands 2,162225,0,0,1,0,0,0,0,1,0,0,0,0,0
1228552,250900,['Action'],The Binding of Isaac: Rebirth,160787,0,0,1,0,0,0,0,0,0,0,0,0,0
2493679,221100,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']",DayZ,159560,1,0,1,0,0,0,1,0,0,1,0,0,0
491901,47890,['Simulation'],The Sims™ 3,159558,0,1,0,0,0,0,0,0,0,0,0,0,0
1878179,377160,['RPG'],Fallout 4,158693,0,0,0,0,0,0,0,1,0,0,0,0,0
2054742,255710,"['Simulation', 'Strategy']",Cities: Skylines,158444,0,1,0,0,0,0,0,0,1,0,0,0,0
3416987,78000,"['Strategy', 'Casual']",Bejeweled® 3,154446,0,0,0,0,1,0,0,0,1,0,0,0,0
3088197,214360,"['Action', 'Indie', 'Strategy']",Tower Wars,153350,1,0,1,0,0,0,0,0,1,0,0,0,0
1840151,405640,['Indie'],Pony Island,149299,1,0,0,0,0,0,0,0,0,0,0,0,0
1672155,301520,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation']",Robocraft,146864,1,1,1,0,0,1,1,1,0,0,0,0,0
818060,209080,"['Action', 'Adventure', 'Indie', 'Simulation']",Guns of Icarus Online,146741,1,1,1,1,0,0,0,0,0,0,0,0,0
4026880,30,['Action'],Day of Defeat,146484,0,0,1,0,0,0,0,0,0,0,0,0,0
724231,209270,"['Indie', 'Strategy']",Hero Academy,145465,1,0,0,0,0,0,0,0,1,0,0,0,0
1941951,304050,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']",Trove,144593,0,0,1,1,1,1,1,1,0,0,0,0,0
2967869,219640,"['Action', 'Indie']",Chivalry: Medieval Warfare,143055,1,0,1,0,0,0,0,0,0,0,0,0,0
1459985,311210,"['Action', 'Adventure']",Call of Duty®: Black Ops III,142425,0,0,1,1,0,0,0,0,0,0,0,0,0
3989763,20,['Action'],Team Fortress Classic,141467,0,0,1,0,0,0,0,0,0,0,0,0,0
900090,231430,['Strategy'],Company of Heroes 2,141283,0,0,0,0,0,0,0,0,1,0,0,0,0
301148,17450,['RPG'],Dragon Age: Origins,140112,0,0,0,0,0,0,0,1,0,0,0,0,0
1421147,386360,"['Action', 'Free to Play']",SMITE®,139958,0,0,1,0,0,1,0,0,0,0,0,0,0
2300476,287450,"['Simulation', 'Strategy']",Rise of Nations: Extended Edition,139836,0,1,0,0,0,0,0,0,1,0,0,0,0
2791018,222520,"['Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']",Champions of Regnum,137520,1,0,0,0,0,1,1,1,0,0,0,0,0
127355,17480,['Strategy'],Command &amp; Conquer: Red Alert 3,137476,0,0,0,0,0,0,0,0,1,0,0,0,0
2097597,335240,"['Free to Play', 'Indie', 'Massively Multiplayer']",Transformice,136078,1,0,0,0,0,1,1,0,0,0,0,0,0
1191556,215080,"['Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']",WAKFU,135545,0,0,0,1,0,1,1,1,1,0,0,0,0
1542453,211820,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Starbound,135222,1,0,1,1,1,0,0,1,0,0,0,0,0
3651669,25910,['Strategy'],Supreme Ruler 2020 Gold,134501,0,0,0,0,0,0,0,0,1,0,0,0,0
2955787,220820,"['Action', 'Indie', 'Racing']",Zombie Driver HD,134243,1,0,1,0,0,0,0,0,0,0,0,1,0
1046847,265610,"['Adventure', 'RPG']",Epic Battle Fantasy 4,134223,0,0,0,1,0,0,0,1,0,0,0,0,0
3710530,22130,['Strategy'],Hearts of Iron 2 Complete,132827,0,0,0,0,0,0,0,0,1,0,0,0,0
2050071,306130,"['Massively Multiplayer', 'RPG']",The Elder Scrolls® Online: Tamriel Unlimited™,131191,0,0,0,0,0,0,1,1,0,0,0,0,0
640234,201310,"['Action', 'Simulation']",X3: Albion Prelude,130794,0,1,1,0,0,0,0,0,0,0,0,0,0
240791,1280,"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,130678,0,1,1,0,0,0,0,0,0,0,0,0,0
3256504,65800,"['Action', 'Indie', 'RPG', 'Strategy']",Dungeon Defenders,128428,1,0,1,0,0,0,0,1,1,0,0,0,0
3189945,104700,"['Free to Play', 'Action', 'Strategy', 'Indie', 'Sports']",Super MNC,126519,1,0,1,0,0,1,0,0,1,0,0,0,1
1263835,313120,"['Adventure', 'Indie', 'Early Access']",Stranded Deep,124301,1,0,0,1,0,0,0,0,0,1,0,0,0
1462539,290080,"['Action', 'Indie', 'RPG', 'Simulation']",Life is Feudal: Your Own,122805,1,1,1,0,0,0,0,1,0,0,0,0,0
